Source,diameter,RH,RH_uncertainty
Staff,0.305,3.51E+12,1.02E+11
Staff,0.305,3.33E+12,9.50E+10
Staff,0.559,3.16E+11,8.13E+09
Staff,0.559,3.14E+11,9.23E+09
Staff,0.965,3.44E+10,8.40E+08
Staff,1.397,7.85E+09,2.14E+08
Staff,1.753,4.31E+09,1.03E+08
Staff,1.956,2.15E+09,5.18E+07
Staff,2.286,1.37E+09,3.98E+07
Student,0.965,2.89E+10,2.73E+08
Student,0.965,2.24E+10,3.03E+08
Student,0.965,3.03E+10,1.11E+09
Student,0.965,2.29E+10,1.94E+08
Student,0.965,2.83E+10,3.46E+08
Student,0.965,2.65E+10,3.73E+08
Student,0.965,2.54E+10,3.13E+08
Student,0.965,2.80E+10,3.69E+08
Student,0.965,2.36E+10,9.59E+08
Student,0.965,2.66E+10,2.93E+08
Student,0.965,2.74E+10,4.22E+08
Student,0.965,2.38E+10,4.78E+08
Student,0.965,2.44E+10,3.27E+08
Student,0.965,2.61E+10,2.04E+08
Student,0.965,2.46E+10,2.37E+08
Student,0.965,2.47E+10,3.04E+08
Student,0.965,2.65E+10,3.45E+08
Student,0.965,2.35E+10,2.40E+08
Student,0.965,2.58E+10,3.77E+08
Student,0.965,2.14E+10,2.22E+08
Student,0.965,2.55E+10,5.86E+08
Student,0.965,2.82E+10,1.18E+08
Student,1.397,7.08E+09,1.23E+08
Student,1.397,5.67E+09,3.76E+08
Student,1.397,5.83E+09,4.65E+07
Student,1.397,5.66E+09,1.17E+08
Student,1.397,5.56E+09,4.56E+07
Student,1.397,4.85E+09,4.19E+07
Student,1.397,5.11E+09,4.35E+07
Student,1.397,5.53E+09,8.14E+07
Student,1.397,5.52E+09,4.11E+07
Student,1.397,4.48E+09,6.69E+07
Student,1.397,6.45E+09,1.63E+08
Student,1.397,6.31E+09,6.03E+07
Student,1.397,5.59E+09,1.35E+08
Student,1.397,6.29E+09,1.10E+08
Student,1.397,5.02E+09,3.50E+08
Student,1.397,6.77E+09,1.68E+08
Student,1.397,6.58E+09,4.54E+08
Student,1.397,6.20E+09,2.52E+07
Student,1.397,6.20E+09,5.85E+07
Student,1.397,6.29E+09,6.06E+07
Student,1.397,6.49E+09,6.06E+07
Student,1.753,2.68E+09,5.65E+07
Student,1.753,2.81E+09,1.86E+08
Student,1.753,2.70E+09,2.00E+08
Student,1.753,3.21E+09,1.64E+07
Student,1.753,2.53E+09,5.83E+07
Student,1.753,2.58E+09,1.74E+07
Student,1.753,3.59E+09,4.35E+07
Student,1.753,2.94E+09,2.81E+07
Student,1.753,2.26E+09,1.75E+07
Student,1.753,3.22E+09,5.32E+07
Student,1.753,2.68E+09,2.69E+07
Student,1.753,2.54E+09,1.07E+07
Student,1.753,2.87E+09,1.85E+08
Student,1.753,2.70E+09,2.74E+07
Student,1.753,2.84E+09,3.19E+07
Student,1.753,3.30E+09,2.79E+07
Student,1.753,2.84E+09,4.95E+07
Student,1.753,3.05E+09,3.37E+07
Student,1.753,2.68E+09,2.39E+07
Student,1.753,2.35E+09,3.72E+07
Student,1.956,2.06E+09,1.83E+07
Student,1.956,2.26E+09,2.37E+07
Student,1.956,2.53E+09,2.05E+07
Student,1.956,1.91E+09,1.66E+07
Student,1.956,2.23E+09,2.01E+07
Student,1.956,1.51E+09,1.00E+07
Student,1.956,2.19E+09,6.07E+07
Student,1.956,1.97E+09,3.77E+07
Student,1.956,2.75E+09,2.41E+07
Student,1.956,1.37E+09,3.98E+07
Student,2.286,1.54E+09,6.10E+07
Student,2.286,1.68E+09,1.28E+07
Student,2.286,1.04E+09,9.76E+06
Student,2.286,1.72E+09,1.56E+07
Student,2.286,1.28E+09,9.26E+06
Student,2.286,1.44E+09,1.73E+07
Student,2.286,1.59E+09,1.31E+07
Student,2.286,1.76E+09,9.36E+06
Student,2.286,1.17E+09,9.98E+06
Student,2.286,1.62E+09,3.16E+07
Student,2.286,1.64E+09,1.22E+08
Student,2.286,1.89E+09,3.18E+07
Student,2.286,1.09E+09,1.05E+07
Student,2.286,1.39E+09,1.23E+07
Student,2.286,1.16E+09,9.47E+06
Student,2.286,1.43E+09,1.14E+07
Student,2.286,1.41E+09,9.32E+07
Student,2.286,1.39E+09,1.17E+07
Student,2.286,1.06E+09,7.84E+06
Student,2.286,1.18E+09,7.59E+07
Student,2.286,1.23E+09,9.93E+06
Student,2.286,1.17E+09,1.52E+07
Student,2.286,9.45E+08,1.01E+07
Student,2.286,1.11E+09,1.21E+07
